entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group,description,item_description,category,category_source
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projectors,Projectors,-11838.26,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projectors,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projectors,Projectors,-4110.51,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projectors,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projector Mounts,Projector Mounts,-5544.55,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projector Mounts,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Services - On Site Services,On Site Services,-1011.82,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),2025 - Cash In Advance re. Invoice #SR241161 (Needle),On Site Services,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,-1965.77,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projection Screens,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,-21658.0,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241147 (Zagar),2025 - Cash In Advance re. Invoice #SR241147 (Zagar),Projection Screens,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Metal Fabric Track,Metal Fabric Track,-27240.89,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Metal Fabric Track,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Metal Fabric Track,Metal Fabric Track,-5349.53,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Metal Fabric Track,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Services - Project Design,Project Design,-1800.0,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Project Design,account
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,-35134.2,0,0,2025 - 2025 - Cash In Advance re. Invoice #SR241147 (Upton),2025 - Cash In Advance re. Invoice #SR241147 (Upton),Projection Screens,account
